entered_by,study,pub_reference,pub_year,decade,exp_type,reps,pooled_Y.N,study_duration,sample_size,wgt,loc_citystate,loc_state,lat,long,aridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,tillage_sys,cc_plant.DOY,cc_plant.kgha,cc_pMETH,cc_term.DOY,cc_term.METH,cc_term.METH2,add_herb,cc_bio_Mgha,crop,crop_plant.DOY,term.plant.diff,weed type,weed.sing.com,weed.spp,LRRbio,LRRyield
VS,7,"Koger et al., 2002",2002,2011-2020,Split-Split Plot,4,Y,3,144,72,"Stoneville, MS",MS,33.424,-90.9151,NA,1.1,silt loam,6.3,Cereal rye,grass,no-till,NA,80,drilled,NA,herbicide,H,Y,NA,soybean,NA,NA,summer annual,community,NA,0.295946582,-0.184093036
VS,8,"Koger et al., 2005",2005,2011-2020,Split-Split Plot,4,Y,2,24,12,"Stoneville, MS",MS,33.424,-90.9151,NA,NA,silt loam,6.3,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,2.3,corn,NA,0,summer annual,community,NA,-0.09237332,0.063564743
VS,8,"Koger et al., 2005",2005,2011-2020,Split-Split Plot,4,Y,2,24,12,"Stoneville, MS",MS,33.424,-90.9151,NA,NA,silt loam,6.3,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,2.3,corn,NA,0,summer annual,community,NA,-0.071095922,-0.067286082
VS,10,"Malik et al., 2008",2008,2001-2010,Split plot,4,Y,2,8,4,"Blackville, SC",SC,33.356101,-81.270396,NA,0.6,sandy loam,6,Cereal rye,grass,strip till,NA,90,drilled,NA,mow,M,N,2.3,corn,NA,NA,summer annual,community,NA,-1.412611669,0.251314428
VS,10,"Malik et al., 2008",2008,2001-2010,Split plot,4,Y,2,8,4,"Blackville, SC",SC,33.356101,-81.270396,NA,0.6,sandy loam,6,Wild radish,brassica,strip till,NA,34,broadcast,NA,mow,M,N,2.6,corn,NA,NA,summer annual,community,NA,-1.10512697,1.098612289
DW,11,"Norsworthy and Frederick, 2005",2005,2001-2010,RCBD,4,Y,2,48,24,Florence SC,SC,34.28929,-79.738204,NA,NA,loamy sand,NA,Cereal rye,grass,NA,319,67,drilled,90,herbicide,H,Y,1.8,corn,99,9,summer annual,community,NA,-0.344840486,0.066928887
DW,11,"Norsworthy and Frederick, 2005",2005,2001-2010,RCBD,4,Y,2,48,24,Florence SC,SC,34.28929,-79.738204,NA,NA,loamy sand,NA,Cereal rye,grass,NA,322,67,drilled,102,herbicide,H,Y,1.8,corn,112,10,summer annual,community,NA,-0.629777567,-0.078252197
DW,11,"Norsworthy and Frederick, 2005",2005,2001-2010,RCBD,4,Y,2,48,24,Florence SC,SC,34.28929,-79.738204,NA,NA,loamy sand,NA,Winter wheat,grass,NA,319,112,drilled,90,herbicide,H,Y,1.1,corn,99,9,summer annual,community,NA,-0.405465108,0.040409538
DW,11,"Norsworthy and Frederick, 2005",2005,2001-2010,RCBD,4,Y,2,48,24,Florence SC,SC,34.28929,-79.738204,NA,NA,loamy sand,NA,Winter wheat,grass,NA,322,112,drilled,102,herbicide,H,Y,1.1,corn,112,10,summer annual,community,NA,-0.129534052,-0.038360868
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,5.7,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.034094211,0.015861166
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.245743383,0.113476026
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,6.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.644091024,0.035962346
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,9.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.898289298,-0.134597591
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,8.8,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-2.57070201,-0.368212442
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,8.2,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-2.409433862,-0.307326748
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,5.9,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.667517895,0.470074529
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.035789108,0.48205494
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,6.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.236814854,0.300503664
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,8.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.454521265,0.296955709
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,6.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.321339095,0.253726975
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,4.2,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.475693545,0.180853952
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.3,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.027728883,0.130949292
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.7,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.242307664,-0.02853532
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,5.9,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.325200984,-0.020845932
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,10.9,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.618477568,-0.051672011
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,9.2,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.027336554,-0.006702784
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,6.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.00671895,0.018330452
DW,16,"Reddy and Koger, 2004",2004,2001-2010,RCBD,4,Y,2,24,12,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,2.2,corn,NA,NA,summer annual,community,NA,-0.496436886,0.031623188000000003
DW,16,"Reddy and Koger, 2004",2004,2001-2010,RCBD,4,Y,2,24,12,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,3.8,corn,NA,NA,summer annual,community,NA,-1.931521412,-0.053621091
DW,16,"Reddy and Koger, 2004",2004,2001-2010,RCBD,4,Y,2,24,12,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Hairy vetch,legume,no-till,NA,30,drilled,NA,NA,NA,N,4.3,corn,NA,NA,summer annual,community,NA,-1.749199855,-0.090302658
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,3,12,6,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Crimson clover,legume,NA,NA,30,drilled,NA,herbicide,H,N,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,0.286132885,-0.23596424
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,3,12,6,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Crimson clover,legume,NA,NA,30,drilled,NA,herbicide,H,Y,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,0.337327303,-0.253988227
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,3,12,6,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Crimson clover,legume,NA,NA,30,drilled,NA,herbicide,H,Y,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,-0.384845821,-0.045809536
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,3,12,6,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Crimson clover,legume,NA,NA,30,drilled,NA,herbicide,H,Y,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,-0.048790164,0.012903405
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,3,12,6,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Cereal rye,grass,NA,NA,80,drilled,NA,herbicide,H,N,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,-0.139297654,0.037504395
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,3,12,6,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Cereal rye,grass,NA,NA,80,drilled,NA,herbicide,H,Y,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,-0.036589447,-0.14562019
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,3,12,6,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Cereal rye,grass,NA,NA,80,drilled,NA,herbicide,H,Y,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,-0.395102321,-0.010000083
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,3,12,6,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Cereal rye,grass,NA,NA,80,drilled,NA,herbicide,H,Y,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,0.105360516,-0.081125545
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,16,8,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Italian ryegrass,grass,no-till,NA,6,drilled,NA,herbicide,H,Y,7.6,soybean,NA,NA,summer annual,community,NA,0,-0.34699865
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Oat,grass,no-till,NA,80,drilled,NA,herbicide,H,Y,11.1,soybean,NA,NA,summer annual,community,NA,0.195060583,-0.158523227
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Cereal rye,grass,no-till,NA,80,drilled,NA,herbicide,H,Y,7.6,soybean,NA,NA,summer annual,community,NA,0.973107207,-0.152407
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Winter wheat,grass,no-till,NA,80,drilled,NA,herbicide,H,Y,7.2,soybean,NA,NA,summer annual,community,NA,0.849493251,-0.170869063
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,6.8,soybean,NA,NA,summer annual,community,NA,0.498441565,-0.076123695
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Crimson clover,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,6,soybean,NA,NA,summer annual,community,NA,0.669799817,-0.110609872
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Subteranean clover,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,6.7,soybean,NA,NA,summer annual,community,NA,0.822825004,-0.221835507
VS,19,"Reddy, 2003",2003,2001-2010,Split-Split Plot,3,Y,3,81,40.5,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.6,silty clay loam,6.9,Cereal rye,grass,no-till,NA,80,drilled,NA,herbicide,H,N,9.5,soybean,NA,NA,summer annual,community,NA,-0.480972661,0.441183191
VS,19,"Reddy, 2003",2003,2001-2010,Split-Split Plot,3,Y,3,81,40.5,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.6,silty clay loam,6.9,Cereal rye,grass,no-till,NA,80,drilled,NA,herbicide,H,Y,9.5,soybean,NA,NA,summer annual,community,NA,-0.977775816,-0.057629113
VS,19,"Reddy, 2003",2003,2001-2010,Split-Split Plot,3,Y,3,81,40.5,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.6,silty clay loam,6.9,Cereal rye,grass,no-till,NA,80,drilled,NA,herbicide,H,Y,9.5,soybean,NA,NA,summer annual,community,NA,0.78845736,0
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Lewiston, NC",NC,36.125059,-77.175648,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,281,146,drilled,135,roll,R,N,5.9,cotton,141,6,summer annual,community,NA,-0.46609496,3.394508394
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Lewiston, NC",NC,36.125059,-77.175648,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,281,146,drilled,135,roll,R,N,5.9,cotton,141,6,summer annual,community,NA,-0.370275683,2.48490665
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,5,N,2,5,2.5,"Clayton, NC",NC,35.651013,-78.457184,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,289,146,drilled,130,roll,R,N,3.3,cotton,137,7,summer annual,community,NA,0.400210413,NA
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,5,N,2,5,2.5,"Clayton, NC",NC,35.651013,-78.457184,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,289,146,drilled,130,roll,R,N,3.3,cotton,137,7,summer annual,community,NA,0.181052789,NA
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,5,N,2,5,2.5,"Clayton, NC",NC,35.651013,-78.457184,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,289,146,drilled,130,NA,R,N,5.1,cotton,137,7,summer annual,community,NA,-0.087026746,NA
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,5,N,2,5,2.5,"Clayton, NC",NC,35.651013,-78.457184,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,289,146,drilled,130,roll,R,N,3.3,cotton,137,7,summer annual,community,NA,0.331994166,NA
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Lewiston, NC",NC,36.125059,-77.175648,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,131,roll,R,N,5.8,cotton,138,7,summer annual,community,NA,-0.578806948,NA
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Lewiston, NC",NC,36.125059,-77.175648,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,131,roll,R,N,5.8,cotton,138,7,summer annual,community,NA,-0.209960033,NA
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Lewiston, NC",NC,36.125059,-77.175648,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,131,NA,R,N,6.4,cotton,138,7,summer annual,community,NA,-0.138704828,NA
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Lewiston, NC",NC,36.125059,-77.175648,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,131,roll,R,N,5.8,cotton,138,7,summer annual,community,NA,-0.132534085,NA
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,131,roll,R,N,5.6,cotton,145,14,summer annual,community,NA,-0.509566178,0.182039509
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,131,roll,R,N,5.6,cotton,145,14,summer annual,community,NA,-1.359805217,0.182039509
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,131,NA,R,N,6.6,cotton,145,14,summer annual,community,NA,-1.035610865,0.068654405
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,131,roll,R,N,5.6,cotton,145,14,summer annual,community,NA,-1.219851194,0.043053006
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,137,roll,R,N,6.6,cotton,148,11,summer annual,community,NA,-0.052455179,NA
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,137,roll,R,N,6.6,cotton,148,11,summer annual,community,NA,-0.454844735,NA
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,137,NA,R,N,6.9,cotton,148,11,summer annual,community,NA,-0.063646343,NA
DW,22,"Vann et al., 2018",2018,2011-2020,Split plot,6,N,2,6,3,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,NA,Cereal rye  + crimson clover,mix,tillage,287,146,drilled,137,roll,R,N,6.6,cotton,148,11,summer annual,community,NA,0.054136693,NA
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,32.372392,-84.188418,NA,NA,loamy sand,NA,Austrian winter pea,legume,strip till,NA,78,drilled,NA,herbicide + roll,D,N,4.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,1.135822619,-0.383530031
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,32.372392,-84.188418,NA,NA,loamy sand,NA,Cereal rye + austrian winter pea,mix,strip till,NA,178,drilled,NA,herbicide + roll,D,N,8.8,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.79409885,-0.37176519
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,32.372392,-84.188418,NA,NA,loamy sand,NA,Narrow-leaf lupine,legume,strip till,NA,78,drilled,NA,herbicide + roll,D,N,6.8,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.730012861,-0.036965194
