entered_by,study,pub_reference,pub_year,decade,exp_type,reps,pooled_Y.N,study_duration,sample_size,wgt,loc_citystate,loc_state,lat,long,aridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,tillage_sys,cc_plant.DOY,cc_plant.kgha,cc_pMETH,cc_term.DOY,cc_term.METH,cc_term.METH2,add_herb,cc_bio_Mgha,crop,crop_plant.DOY,term.plant.diff,weed type,weed.sing.com,weed.spp,LRRden,LRRyield
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,8.8,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-2.047649296,-0.368212442
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,8.2,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-2.335381367,-0.307326748
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,5.9,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.370380685,0.470074529
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.594687711,0.48205494
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,6.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.659238732,0.300503664
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,8.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-2.113575219,0.296955709
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,6.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.014962931,0.253726975
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,4.2,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.072121344,0.180853952
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.3,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.286356087,0.130949292
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.7,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.438692106,-0.02853532
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,5.9,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.764718663,-0.020845932
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,10.9,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.435084525,-0.051672011
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,9.2,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.147412453,-0.006702784
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,6.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.587792379,0.018330452
VS,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Barbour, AL",AL,31.849944,-85.405533,NA,NA,NA,NA,Cereal rye,grass,no-till,319,41,drilled,120,herbicide + roll,D,Y,3.1,cotton,137,17,summer annual,single,Amaranthus palmeri,-1.225855516,-0.089856329
VS,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Barbour, AL",AL,31.849944,-85.405533,NA,NA,NA,NA,Cereal rye,grass,no-till,364,41,drilled,123,herbicide + roll,D,Y,0.6,cotton,137,14,summer annual,single,Amaranthus palmeri,-0.824175443,0.09823844
VS,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Screven, GA",GA,31.48521,-82.016988,NA,NA,NA,NA,Cereal rye,grass,no-till,15,41,drilled,130,herbicide + roll,D,Y,3.2,cotton,152,22,summer annual,single,Amaranthus palmeri,-0.294239473,NA
VS,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Lee, SC",SC,34.190338,-80.268468,NA,NA,NA,NA,Cereal rye,grass,no-till,358,79,drilled,118,herbicide,H,Y,0.9,cotton,132,14,summer annual,single,Amaranthus palmeri,-0.78845736,-0.094490843
VS,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Lee, SC",SC,34.190338,-80.268468,NA,NA,NA,NA,Cereal rye,grass,no-till,333,79,drilled,105,herbicide,H,Y,5.8,cotton,117,12,summer annual,single,Amaranthus palmeri,-1.159299412,-0.316669609
VS,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Tipton, TN",TN,35.506969,-89.725732,NA,NA,NA,NA,Wheat,grass,no-till,322,65,drilled,115,herbicide + roll,D,Y,0.9,cotton,128,13,summer annual,single,Amaranthus palmeri,-0.866166345,0.223143551
VS,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Tipton, TN",TN,35.506969,-89.725732,NA,NA,NA,NA,Wheat,grass,no-till,324,65,drilled,111,herbicide + roll,D,Y,1.4,cotton,130,19,summer annual,single,Amaranthus palmeri,-0.866166345,0.298153372
DW,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Macon, GA",GA,32.828024,-83.645895,NA,NA,NA,NA,Cereal rye,grass,no-till,314,41,drilled,96,herbicide + roll,D,Y,5,cotton,112,16,summer annual,single,Amaranthus palmeri,-1.15267951,0.323400155
DW,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Calhoun, SC",SC,33.687582,-80.818587,NA,NA,NA,NA,Cereal rye,grass,no-till,1,79,drilled,108,herbicide,H,Y,2,cotton,116,8,summer annual,single,Amaranthus palmeri,-1.609437912,0.016260521
DW,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Calhoun, SC",SC,33.687582,-80.818587,NA,NA,NA,NA,Cereal rye,grass,no-till,349,79,drilled,117,herbicide,H,Y,2,cotton,136,19,summer annual,single,Amaranthus palmeri,-0.700694386,0.016260521
DW,16,"Reddy and Koger, 2004",2004,2001-2010,RCBD,4,Y,2,24,12,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,2.2,corn,NA,NA,summer annual,community,NA,-0.62848766,0.031623188000000003
DW,16,"Reddy and Koger, 2004",2004,2001-2010,RCBD,4,Y,2,24,12,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,3.8,corn,NA,NA,summer annual,community,NA,-1.210122686,-0.053621091
DW,16,"Reddy and Koger, 2004",2004,2001-2010,RCBD,4,Y,2,24,12,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Hairy vetch,legume,no-till,NA,30,drilled,NA,NA,NA,N,4.3,corn,NA,NA,summer annual,community,NA,-2.144431924,-0.090302658
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,2,16,8,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Crimson clover,legume,NA,NA,30,drilled,NA,herbicide,H,N,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,-0.579818495,-0.23596424
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,2,16,8,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Cereal rye,grass,NA,NA,80,drilled,NA,herbicide,H,N,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,-0.693147181,0.037504395
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Crimson clover,legume,NA,NA,30,drilled,NA,herbicide,H,Y,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,-0.430782916,-0.115919102
VS,17,"Reddy et al., 2003",2003,2001-2010,Split-Split Plot,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,NA,silt loam,NA,Cereal rye,grass,NA,NA,80,drilled,NA,herbicide,H,Y,NA,soybean,NA,NA,"summer annual, summer perennial",community,NA,-0.510825624,-0.056280836
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Italian ryegrass,grass,no-till,NA,6,drilled,NA,herbicide,H,Y,7.6,soybean,NA,NA,summer annual,community,NA,0.318453731,-0.34699865
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Oat,grass,no-till,NA,80,drilled,NA,herbicide,H,Y,11.1,soybean,NA,NA,summer annual,community,NA,0.223143551,-0.158523227
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Cereal rye,grass,no-till,NA,80,drilled,NA,herbicide,H,Y,7.6,soybean,NA,NA,summer annual,community,NA,0.318453731,-0.152407
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Winter wheat,grass,no-till,NA,80,drilled,NA,herbicide,H,Y,7.2,soybean,NA,NA,summer annual,community,NA,0.672093771,-0.170869063
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,6.8,soybean,NA,NA,summer annual,community,NA,0.189242,-0.076123695
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Crimson clover,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,6,soybean,NA,NA,summer annual,community,NA,0.34830669399999997,-0.110609872
DW,18,"Reddy, 2001",2001,2001-2010,RCBD,4,Y,2,32,16,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.1,silt loam,6.3,Subteranean clover,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,6.7,soybean,NA,NA,summer annual,community,NA,0.672093771,-0.221835507
VS,19,"Reddy, 2003",2003,2001-2010,Split-Split Plot,3,Y,3,27,13.5,"Stoneville, MS",MS,33.423996,-90.915085,NA,1.6,silty clay loam,6.9,Cereal rye,grass,no-till,NA,80,drilled,NA,herbicide,H,N,9.5,soybean,NA,NA,summer annual,community,NA,-0.312091037,NA
DW,20,"Smith et al., 2011",2011,2011-2020,RCBD,6,Y,2,12,6,"Goldsboro, NC",NC,35.383868,-77.993438,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,319,134,drilled,154,NA,NA,NA,4.5,soybean,154,0,summer annual,community,NA,-1.352392809,NA
DW,20,"Smith et al., 2011",2011,2011-2020,RCBD,6,Y,2,12,6,"Kinston, NC",NC,35.263261,NA,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,290,134,drilled,147,NA,NA,NA,8,soybean,147,0,summer annual,community,NA,-2.215573716,NA
DW,20,"Smith et al., 2011",2011,2011-2020,RCBD,6,Y,2,12,6,"Plymouth, NC",NC,35.903838,-76.755424,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,295,134,drilled,148,NA,NA,NA,8,soybean,148,0,summer annual,community,NA,-1.609437912,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,NA,84,drilled,NA,herbicide + mow,D,Y,1.8,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.087011377,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,NA,84,drilled,NA,mow,M,Y,1.8,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.037740328,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,strip till,NA,84,drilled,NA,herbicide + mow,D,Y,1.8,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.247253313,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,NA,84,drilled,NA,herbicide + mow,D,Y,1.3,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.217064505,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,NA,84,drilled,NA,mow,M,Y,1.3,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.200670695,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,strip till,NA,84,drilled,NA,herbicide + mow,D,Y,1.3,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.129592829,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,NA,84,drilled,NA,herbicide + mow,D,Y,1.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.029852963,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,NA,84,drilled,NA,mow,M,Y,1.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.46536325,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,strip till,NA,84,drilled,NA,herbicide + mow,D,Y,1.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.306676733,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,NA,84,drilled,NA,herbicide + mow,D,Y,0.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.217064505,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,NA,84,drilled,NA,mow,M,Y,0.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.798507696,NA
VS,21,"Timper et al., 2011",2011,2011-2020,Split plot,6,Y,2,12,6,"Tifton, GA",GA,31.474437000000002,-83.530774,NA,NA,loamy sand,NA,Cereal rye,grass,strip till,NA,84,drilled,NA,herbicide + mow,D,Y,0.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.32729602,NA
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,32.372392,-84.188418,NA,NA,loamy sand,NA,Austrian winter pea,legume,strip till,NA,78,drilled,NA,herbicide + roll,D,N,4.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.068992871,-0.383530031
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,32.372392,-84.188418,NA,NA,loamy sand,NA,Cereal rye + austrian winter pea,mix,strip till,NA,178,drilled,NA,herbicide + roll,D,N,8.8,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.397802235,-0.37176519
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,32.372392,-84.188418,NA,NA,loamy sand,NA,Narrow-leaf lupine,legume,strip till,NA,78,drilled,NA,herbicide + roll,D,N,6.8,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.111495504,-0.036965194
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,32.372392,-84.188418,NA,NA,loamy sand,NA,Cereal rye + narrow-leaf lupine,mix,strip till,NA,178,drilled,NA,herbicide + roll,D,N,10.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.360344673,-0.245570587
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,32.372392,-84.188418,NA,NA,loamy sand,NA,Cahaba vetch,legume,strip till,NA,17,drilled,NA,herbicide + roll,D,N,2.8,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.220061885,-0.028631813
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,32.372392,-84.188418,NA,NA,loamy sand,NA,Cereal rye + cahaba vetch,mix,strip till,NA,117,drilled,NA,herbicide + roll,D,N,9.2,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.229574442,-0.15213658
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,32.372392,-84.188418,NA,NA,loamy sand,NA,Crimson clover,legume,strip till,NA,20,drilled,NA,herbicide + roll,D,N,3.3,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.169418152,-0.138150338
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,32.372392,-84.188418,NA,NA,loamy sand,NA,Cereal rye  + crimson clover,mix,strip till,NA,120,drilled,NA,herbicide + roll,D,N,8.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.119707964,-0.106256975
DW,23,"Webster et al., 2013",2013,2011-2020,RCBD,4,Y,2,12,6,"Ideal and Chula, GA",GA,31.549569,-83.547416,NA,NA,loamy sand,NA,Cereal rye,grass,strip till,NA,100,drilled,NA,herbicide + roll,D,N,8.5,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.102515564,0.031748698
DW,24,"Wells et al., 2013",2015,2011-2020,RCBD,6,N,2,6,3,"Goldsboro, NC",NC,35.383868,-77.993438,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,NA,134,drilled,NA,roll,M,N,4.5,soybean,NA,NA,summer annual,community,NA,-1.352392809,NA
DW,24,"Wells et al., 2013",2015,2011-2020,RCBD,6,N,2,6,3,"Kinston, NC",NC,35.263261,NA,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,NA,134,drilled,NA,roll,M,N,8.4,soybean,NA,NA,summer annual,community,NA,-2.215573716,NA
DW,24,"Wells et al., 2013",2015,2011-2020,RCBD,6,N,2,6,3,"Kinston, NC",NC,35.263261,NA,NA,NA,loamy sand,NA,Cereal rye,grass,tillage,NA,134,drilled,NA,roll,M,N,7.1,soybean,NA,NA,summer annual,community,NA,-1.231101472,NA
DW,26,"Wiggins et al., 2017",2017,2011-2020,RCBD,4,Y,2,8,4,"Jackson, TN",TN,35.613468,-88.813431,NA,NA,NA,NA,Cereal rye,grass,no-till,NA,67,drilled,NA,herbicide,H,Y,12.9,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.223143551,NA
DW,26,"Wiggins et al., 2017",2017,2011-2020,RCBD,4,Y,2,8,4,"Jackson, TN",TN,35.613468,-88.813431,NA,NA,NA,NA,Crimson clover,legume,no-till,NA,17,drilled,NA,herbicide,H,Y,2.2,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.355340721,NA
DW,26,"Wiggins et al., 2017",2017,2011-2020,RCBD,4,Y,2,8,4,"Jackson, TN",TN,35.613468,-88.813431,NA,NA,NA,NA,Hairy vetch,legume,no-till,NA,22,drilled,NA,herbicide,H,Y,2.7,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.401010758,NA
DW,26,"Wiggins et al., 2017",2017,2011-2020,RCBD,4,Y,2,8,4,"Jackson, TN",TN,35.613468,-88.813431,NA,NA,NA,NA,Winter wheat,grass,no-till,NA,67,drilled,NA,herbicide,H,Y,3.3,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.366244395,NA
